NodeID,Focused_or_Related,Chinese_Name,English_Name,Pinyin_Name,YOB,YOB_ReferenceA,YOB_ReferenceB,YOB_ReferenceC,YOD,YOD_ReferenceA,YOD_ReferenceB,YOD_ReferenceC,Dialect_Group_Chinese,Dialect_Group_English,Node_Size,Hometown_in_Details_Chinese,Hometown_in_Details_English,Search_by_Place_of_Origin_Chinese,Search_by_Place_of_Origin_English,Search_by_Place_of_Birth_Chinese,Search_by_Place_of_Birth_English,NLB_Link,Reference1,Reference1Link,Reference2_Chinese,Reference2_English,Reference2Link,Reference2_Complete_Index1,Reference2_Short_Index 2
0,Focused,李大傻,Lee Dai Soh,Li Dasha,1913,"1913, 新华历史人物列传, p41",Nil,Nil,1989,"1989, 新华历史人物列传, p41",Nil,Nil,粤,Canton,100,广东省东莞县,"Dongguan County, Guangdong Province",广东,Guangdong,新加坡,Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Q5Qds91-jkY&label=Lee,%20Dai%20Soh",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
1,Related,孙中山,Sun Yat-sen,Sun Zhongshan,1866,Nil,Nil,Nil,1925,Nil,Nil,Nil,粤,Canton,1,广东省东莞县,"Dongguan County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,《新加坡华人百年史》,One Hundred Years’ History of the Chinese in Singapore,http://www.nas.gov.sg/citizenarchivist/Annotate/LoadFile?fileId=43edc08a-73f5-4622-b290-3916b869233d,"p.xi, xvi, 49, 50, 147, 622, 623, 624, 671, 672, 674, 731, 810, 823","p.xi, xvi, etc."
2,Related,蔡志民,Nil,Cai Zhimin,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,潮,Teochew,1,广东省丰顺县,"Fengshun County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
3,Related,伍伯胜,Nil,Wu Bosheng,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,粤,Canton,1,广东省台山县,"Taishan County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
4,Focused,伍连德,Wu Lien-Teh,Wu Liande,1879,"1879, 新华历史人物列传, p36",Nil,Nil,1960,"1960, 新华历史人物列传, p36",Nil,Nil,粤,Canton,100,广东省台山县,"Taishan County, Guangdong Province",广东,Guangdong,槟榔屿,Penang Island,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/B2qupuNihiQ&label=Wu,%20Lien-the",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,《新加坡华人百年史》,One Hundred Years’ History of the Chinese in Singapore,http://www.nas.gov.sg/citizenarchivist/Annotate/LoadFile?fileId=43edc08a-73f5-4622-b290-3916b869233d,"p.327, 332, 332, 807","p.327, 332, etc."
5,Related,陈梦桃,Nil,Chen Mengtao,Nil,Nil,Nil,Nil,1919,Nil,Nil,Nil,客,Hakka,1,广东省嘉应州,"Jiaying Prefecture, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
6,Related,徐统雄,Nil,Xu Tongxiong,1876,Nil,Nil,Nil,1937,Nil,Nil,Nil,客,Hakka,1,广东省大埔县,"Dapu County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
7,Related,陈瑞麟,Nil,Chen Ruilin,1892,Nil,Nil,Nil,1962,Nil,Nil,Nil,客,Hakka,1,广东省梅县,"Mei County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
8,Focused,杨缵文,Yeo Chan Boon,Yang Zuanwen,1881,"1881, 新华历史人物列传, p59",Nil,Nil,1967,"1967, 新华历史人物列传, p59",Nil,Nil,潮,Teochew,100,广东省潮安县,"Chao'an County, Guangdong Province",广东,Guangdong,暂无,Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/b-xMhjjoBI4&label=Yeo,%20Chan%20Boon",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
9,Related,林忠国,Nil,Lin Zhongguo,1902,Nil,Nil,Nil,1938,Nil,Nil,Nil,潮,Teochew,1,广东省澄海县,"Chenghai County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
