Accession Number,Is Public Domain,Object ID,Department,Accession Year,Object Name,Title,Culture,Period,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,County,Country,Region,Classification,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,,,,,,,,,,,,,,,,
38.87.2,TRUE,333,The American Wing,1938,Basin,Basin,Chinese,,,,,,,,,,,,,,,1825–45,1825,1845,Porcelain,H. 4 1/4 in. (10.8); Diam. 14 1/2 in. (36.8 cm),"Gift of Mrs. Henry M. Ferriday, 1938",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/333,https://www.wikidata.org/wiki/Q116234877,,"Metropolitan Museum of Art, New York, NY",Men|Women,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467,,,,,,,,,,,,,,,,
"38.87.1a, b",TRUE,602,The American Wing,1938,Bottle,Bottle,Chinese,,,,,,,,,,,,,,,1825–45,1825,1845,Porcelain,H. 22 1/2 in. (57.2 cm); Diam. 8 1/2 in. (21.6 cm),"Gift of Mrs. Henry M. Ferriday, 1938",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/602,https://www.wikidata.org/wiki/Q116234749,,"Metropolitan Museum of Art, New York, NY",Men|Women|Horses|Musicians|Flowers,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300025666|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q639669|https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
27.144,TRUE,687,The American Wing,1927,Bowl,Bowl,"Chinese, for American market",,,,,,,,,,,,,,,1770–1800,1770,1800,Porcelain,H. 4 7/8 in. (12.4 cm); Diam. 11 1/2 in. (29.2 cm),"Gift of the grandchildren of Francis George Shaw, 1927",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/687,https://www.wikidata.org/wiki/Q116373099,,"Metropolitan Museum of Art, New York, NY",Eagles|Coat of Arms,http://vocab.getty.edu/page/aat/300250049|http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q2092297|https://www.wikidata.org/wiki/Q14659,,,,,,,,,,,,,,,,
39.18.6,TRUE,693,The American Wing,1939,Bowl,Bowl,Chinese,,,,,,,,,,,,,,,1770–1800,1770,1800,Porcelain,H. 4 1/2 in. (11.4 cm); Diam. 10 3/8 in. (26.4 cm),"Gift of R. Thornton Wilson, 1939",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/693,https://www.wikidata.org/wiki/Q116373090,,"Metropolitan Museum of Art, New York, NY",Ships,http://vocab.getty.edu/page/aat/300082981,https://www.wikidata.org/wiki/Q11446,,,,,,,,,,,,,,,,
45.64,TRUE,716,The American Wing,1945,Bowl,Bowl,Chinese,,,,,,,,,,,,,,,1825–40,1825,1840,Porcelain,Diam. 24 in. (61 cm),"Bequest of Emma H. Rose, 1944",Made in,Canton,,China,,,http://www.metmuseum.org/art/collection/search/716,https://www.wikidata.org/wiki/Q116373074,,"Metropolitan Museum of Art, New York, NY",Men|Women,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467,,,,,,,,,,,,,,,,
60.111.23,TRUE,876,The American Wing,1960,Bowl,Bowl,"Chinese, for American market",,,,,,,,,,,,,,,1700–1800,1700,1800,Porcelain,H. 2 7/16 in. (6.2 cm); Diam. 4 5/8 in. (11.7 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/876,,,"Metropolitan Museum of Art, New York, NY",Coat of Arms,http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q14659,,,,,,,,,,,,,,,,
60.111.57,TRUE,877,The American Wing,1960,Bowl,Bowl,"Chinese, for American market",,,,,,,,,,,,,,,ca. 1860–66,1860,1866,Porcelain,H. 5 1/16 in. (12.9 cm); Diam. 7 1/2 in. (19.1 cm),"Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/877,https://www.wikidata.org/wiki/Q116372776,,"Metropolitan Museum of Art, New York, NY",Birds|Butterflies|Flowers,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300417320|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q11946202|https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
46.67.120,TRUE,1171,The American Wing,1946,Candle stand,Candlestand,"Chinese, for American market",,,,,,,,,,,,,,,ca. 1800,1797,1800,Wood,27 x 14 1/2 x 11 5/8 in. (68.6 x 36.8 x 29.5 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/1171,https://www.wikidata.org/wiki/Q116372505,,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,
"60.111.168, .184",TRUE,2110,The American Wing,1960,Coffee cup and saucer,Coffee Cup and Saucer,"Chinese, for American market",,,,,,,,,,,,,,,ca. 1860–66,1860,1866,Porcelain,"Cup: H. 2 1/2 in. (6.4 cm); Diam. 2 3/4 in. (6.4 x 7 cm)
Saucer: Diam. 5 1/8 in. (13 cm)","Gift of Elizabeth Hazard and Marion H. McVitty, in memory of their mother, Mrs. Lauriston H. Hazard, 1960",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2110,https://www.wikidata.org/wiki/Q116371721,,"Metropolitan Museum of Art, New York, NY",Birds|Flowers,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q506,,,,,,,,,,,,,,,,
"1971.180.113a, b",TRUE,2134,The American Wing,1971,Coffeepot,Coffeepot,Chinese,,,,,,,,,,,,,,,1800–1830,1800,1830,Porcelain,H. 9 5/8 in. (24.4 cm); Diam. 8 5/16 in. (21.1 cm),"Bequest of Flora E. Whiting, 1971",Made in,,,China,,,http://www.metmuseum.org/art/collection/search/2134,https://www.wikidata.org/wiki/Q116371714,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163,,,,,,,,,,,,,,,,
